Category,Price,Product URL,Product Name,ProductCode,Brand,EAN,Description,Stock_status,Delivery Time,Shipping_cost,Product_id,Condition,Bundle,Colour,Gender,Size
Kök/Köksfläktar/Vägghängda fläktar,11110,https://hemmy.se/kok/koksflaktar/vagghangdaflaktar/Siemens-LC97FLP20,Siemens - LC97FLP20 | FRI hemleverans,LC97FLP20,Siemens,4242003761144,Siemens - LC97FLP20 | FRI hemleverans,Ja,I lager. Leverans 1-5 dagar.,0,803,ny,,,,
Kök/Spishällar/Tillbehör,1895,https://hemmy.se/tillbehor_till_hallar/SMEG-BB3679,SMEG - BB3679 | FRI frakt,BB3679,SMEG,8017709049690,SMEG - BB3679 | FRI frakt,Ja,I lager. Leverans 1-5 dagar.,0,3552,ny,,,,
Kök/Kylskåp/Kylskåp,10995,https://hemmy.se/kok/kyl/kylskap/smeg-fab5rbl5,SMEG - FAB5RBL5 | FRI hemleverans,FAB5RBL5,SMEG,8017709299545,SMEG - FAB5RBL5 | FRI hemleverans,Ja,I lager. Leverans 1-5 dagar.,0,12185,ny,,,,
Kök/Köksfläktar/Vägghängda fläktar,11995,https://hemmy.se/kok/koksflaktar/vagghangdaflaktar/smeg-kd90hae,SMEG - KD90HAE | FRI hemleverans,KD90HAE,SMEG,8017709243616,SMEG - KD90HAE | FRI hemleverans,Ja,I lager. Leverans 1-5 dagar.,0,11026,ny,,,,
Kök/Spisar/Tillbehör till spisar,2695,https://hemmy.se/spisar_tillbehor/SMEG-KITC6X,SMEG - KITC6X | FRI frakt,KITC6X,SMEG,8017709111083,SMEG - KITC6X | FRI frakt,Ja,I lager. Leverans 1-5 dagar.,0,3585,ny,,,,
Kök/Spishällar/Induktionshällar,14995,https://hemmy.se/kok/hallar/induktionshallar/smeg-si7844b,SMEG - SI7844B | FRI hemleverans,SI7844B,SMEG,8017709254933,SMEG - SI7844B | FRI hemleverans,Ja,I lager. Leverans 1-5 dagar.,0,9001,ny,,,,
Kök/Spisar/Induktionsspisar,57995,https://hemmy.se/kok/spisar/induktionsspisar/bertazzoni-pro95i1erot,Bertazzoni - PRO95I1EROT | FRI hemleverans,PRO95I1EROT,Bertazzoni,8059304882517,Bertazzoni - PRO95I1EROT | FRI hemleverans,Ja,I lager. Leverans 1-5 dagar.,0,15664,ny,,,,
Kök/Spisar/Gasspisar,52995,https://hemmy.se/kok/spisar/gasspisar/bertazzoni-pro96l1erot,Bertazzoni - PRO96L1EROT | FRI hemleverans,PRO96L1EROT,Bertazzoni,8059304883590,Bertazzoni - PRO96L1EROT | FRI hemleverans,Ja,I lager. Leverans 1-5 dagar.,0,15670,ny,,,,
Verktyg & maskiner/Slipmaskiner/Vinkelslipar,631,https://hemmy.se/renovering-o-bygg/slipar/vinkelslip/Blackanddecker-KG912-QS,Black and decker - KG912-QS,KG912-QS,Black and Decker,5035048638019,Black and decker - KG912-QS,Nej,Beställningsvara.,39,2842,ny,,,,
Kök/Mikrovågsugnar/Inbyggnadsmikrovågsugnar,8438,https://hemmy.se/kok/mikrovagsugnar/inbyggnadsmikrovagsugnar/Bosch-BFR634GS1,Bosch - BFR634GS1 | FRI frakt,BFR634GS1,Bosch,4242002813806,Bosch - BFR634GS1 | FRI frakt,Ja,I lager. Leverans 1-5 dagar.,0,605,ny,,,,
Kök/Ugnar/Tillbehör till ugnar,1060,https://hemmy.se/kok/hez538200-tillbehor,Bosch - HEZ538200 | FRI frakt,HEZ538200,Bosch,4242005054442,Bosch - HEZ538200 | FRI frakt,Ja,I lager. Leverans 1-5 dagar.,0,4916,ny,,,,
Kök/Kombinerade kyl-frysar/Kyl över frysar/Tillbehör,2290,https://hemmy.se/bosch-ksz1ave00,Bosch - KSZ1AVE00 | FRI frakt,KSZ1AVE00,Bosch,4242005066018,Bosch - KSZ1AVE00 | FRI frakt,Ja,I lager. Leverans 1-5 dagar.,0,4831,ny,,,,
Trädgård/Högtryckstvättar,995,https://hemmy.se/tradgard/hogtryckstvattar/Bosch-Garden-EASY-AQUATAK-100,Bosch Garden - EASY AQUATAK 100,06008A7E00,Bosch Garden,3165140935661,Bosch Garden - EASY AQUATAK 100,Ja,I lager. Leverans 1-5 dagar.,39,4919,ny,,,,
Kök/Mikrovågsugnar/Fristående mikrovågsugnar,1670,https://hemmy.se/kok/mikrovagsugnar/fristaende-mikrovagsugnar/Electrolux-EMS21400S,Electrolux - EMS21400S | FRI frakt,947607362,Electrolux,7332543096619,Electrolux - EMS21400S | FRI frakt,Ja,I lager. Leverans 1-5 dagar.,0,2613,ny,,,,
Kök/Spishällar/Tillbehör,1040,https://hemmy.se/tillbehor_till_hallar/Electrolux-PBOX-8R9I,Electrolux - PBOX-8R9I | FRI frakt,944189315,Electrolux,7332543069187,Electrolux - PBOX-8R9I | FRI frakt,Ja,I lager. Leverans 1-5 dagar.,0,2488,ny,,,,
Kök/Köksfläktar/Tillbehör och filter till köksfläktar,558,https://hemmy.se/tillbehor-till-koksflaktar/Franke-SkorstenRetro_ovre_gra,Franke - Skorsten Retro övre grå,1120440393,Franke,7612981778262,Franke - Skorsten Retro övre grå,Ja,I lager. Leverans 1-5 dagar.,39,1358,ny,,,,
Kök/Köksfläktar/Vägghängda fläktar,10166,https://hemmy.se/kok/koksflaktar/vagghangdaflaktar/Franke-TenderAll.724-16_70cm_RF_Villa,Franke - Tender All  724-16 70cm RF Villa | FRI hemleverans,1100350663,Franke,7612981421496,Franke - Tender All  724-16 70cm RF Villa | FRI hemleverans,Nej,Beställningsvara.,0,1463,ny,,,,
